主播名称,直播类型,观众数量
小狸姑娘,二次元,2.8万
萌萌哒夏夏丶,颜值,2.7万
无敌妞大宝儿,颜值,2.7万
唯妮Winny,穿越火线,2.7万
FC老弊,怀旧游戏,2.7万
澈心心心心,绝地求生,2.7万
荣耀洋洋,主机游戏,2.7万
笑看王者路丶猫猫,王者荣耀,2.6万
亡命快递李云龙,绝地求生,2.6万
珊儿兔兔兔,颜值,2.6万
希噢鸡王,绝地求生,2.6万
770丶,颜值,2.6万
十月船长丶,英雄联盟,2.6万
baby小艺,二次元,2.6万
小女巫露娜,二次元,2.6万
主播伊藤诚,炉石传说,2.6万
酒色罪人,炉石传说,2.6万
洛浦人归,火影忍者,2.6万
沐小乔儿,颜值,2.6万
双胞胎NadiyaNajiya,颜值,2.6万
花猫吖,颜值,2.5万
创DMoD工作室,数码科技,2.5万
羊鹿鹿Jessiebaby,音乐,2.5万
真的很博通,军事,2.5万
林cute,颜值,2.5万
番茄1949丶,王者荣耀,2.5万
LUX梧桐细雨,英雄联盟,2.5万
那日的风,格斗游戏,2.5万
浪紅塵,梦幻西游,2.5万
King七都啊,王者荣耀,2.4万
洛水轻轻依丶,二次元,2.4万
上海饭饭,王者荣耀,2.4万
主播轩辕peter,荒岛特训,2.4万
扶风西子,魔兽世界,2.4万
火锅hoho,二次元,2.4万
上官冰馨m,颜值,2.4万
黄雀1691,王者荣耀,2.4万
就是尖尖儿,颜值,2.3万
冰凡,绝地求生,2.3万
花泽类z,英雄联盟,2.3万
CAROL紫雨,怪物猎人 世界,2.3万
许文强户外,户外,2.3万
小不忍云云,绝地求生,2.3万
冷小六,二次元,2.3万
杨心盼,颜值,2.3万
小羽儿未断奶,颜值,2.3万
近战之光喵妮莎,魔兽世界,2.3万
章鱼姐姐z,颜值,2.3万
南派倒斗丶牛总,王者荣耀,2.2万
王浮生S,荒岛特训,2.2万
Ty小花,颜值,2.2万
你的大湿胸丶,英雄联盟,2.2万
瓜皮雾J铭,英雄联盟,2.2万
Zz仔仔呐,颜值,2.2万
南征北战丶征战南北,户外,2.2万
32G污奶绵,颜值,2.2万
铁头匆弟,户外,2.2万
月光竹影粥妹妹,二次元,2.2万
胖虎老刘,数码科技,2.2万
斗渔刘德华,音乐,2.2万
作作金克丝,英雄联盟,2.2万
七宝Maggie,颜值,2.2万
叶子长青K,DOTA2,2.2万
夕夕夕颜啊,颜值,2.2万
ig454,暗黑破坏神3,2.2万
我叫野草,王者荣耀,2.2万
五百一个火箭,王者荣耀,2.2万
啫喱刘,户外,2.2万
KSG丶八阳,绝地求生,2.2万
馬晓怡,户外,2.2万
斗牌TV,棋牌娱乐,2.2万
林美心Lmx,颜值,2.2万
LostFeather,怪物猎人 世界,2.2万
我馬卷卷,音乐,2.1万
暴走漫画,二次元,2.1万
UnaDirezione,视听点评,2.1万
修仙的小迪,DNF,2.1万
Cnzlike,守望先锋,2.1万
钱沙沙Amanda,星娱,2.1万
德国的凯特琳娜,美食,2.1万
澄海3c晨曦,魔兽争霸,2.1万
大唐雷音寺,军事,2.1万
白豆腐EvEr,颜值,2.1万
凉风有兴,英雄联盟,2.1万
douyu丶松子,英雄联盟,2.1万
小娑娜儿,颜值,2.1万
郁欢0v0,音乐,2万
晓生解说,主机游戏,2万
相伴一好,暗黑破坏神3,2万
欧阳钢管舞丶,户外,2万
溪熄,绝地求生,2万
一万九千把大头,英雄联盟,2万
肌霸聪,鱼教,2万
20cm的,DNF,2万
陈吉强,音乐,2万
QGHERO,绝地求生,2万
电竞没有妹子,颜值,2万
魔静啊魔静,颜值,2万
炸毛张,主机游戏,2万
九夏的九九夏的夏,绝地求生,2万
骚骚兔,户外,1.9万
可爱的白白o,王者荣耀,1.9万
周芷若,魔兽世界,1.9万
丁长久飞车包中,QQ飞车,1.9万
最嗨电台丶怡声,二次元,1.9万
一万九千把大头,英雄联盟,1.9万
九夏的九九夏的夏,绝地求生,1.9万
曾经的痞子南,足球竞技,1.9万
名丶蒙蒙,颜值,1.9万
欧阳钢管舞丶,户外,1.9万
炸毛张,主机游戏,1.9万
可爱的白白o,王者荣耀,1.9万
yin小哥,绝地求生,1.9万
社会你镰刀哥,荒岛特训,1.9万
周老汉丶几度生推,狼人杀专区,1.9万
老虎装机,数码科技,1.9万
小蓉児,音乐,1.9万
誉姐的喵喵,二次元,1.9万
能释怀吗,绝地求生,1.9万
ywwuyi,怪物猎人 世界,1.9万
小伟丶IQ,守望先锋,1.8万
西柚皮妞妞,综合手游,1.8万
野食小哥,美食,1.8万
冷易涂丶,QQ飞车,1.8万
萌兔子丶小雨,炉石传说,1.8万
14德莱文,英雄联盟,1.8万
允拉YoLa,星娱,1.8万
陈吉强,音乐,1.8万
杨一歌,音乐,1.8万
欠妳緈諨,棋牌娱乐,1.8万
进击的神乐,视听点评,1.8万
娇喔萧可可0my女装,二次元手游,1.8万
虫丶二,魔兽争霸,1.8万
荣耀团队辉煌,捕鱼休闲,1.8万
菠萝猫哇,火影忍者,1.8万
小宝QAQ丶,颜值,1.8万
Dy迷弟,其他手游,1.8万
3人行必有我食,户外,1.8万
彤彤歌好不粘人,颜值,1.8万
优雅的包纸,颜值,1.8万
伤口zr,王者荣耀,1.8万
鸽子胖雪,颜值,1.7万
软趴趴sama,魔兽世界,1.7万
小狮子喵呜oO,英雄联盟,1.7万
传奇小马哥丶,传奇,1.7万
AQ丶果粒,王者荣耀,1.7万
大连哥俩刺身,美食,1.7万
所有人都在装,视听点评,1.7万
87鑫,DNF,1.7万
UU娇哒哒呀,视听点评,1.7万
羊航航航航,颜值,1.7万
周馨馨,户外,1.7万
伏地魔小可爱,绝地求生,1.7万
卢弭弭,颜值,1.7万
抢红包都是耍猴,二次元手游,1.7万
雾山Fog53,怪物猎人 世界,1.7万
以心暖心的善良ten,颜值,1.7万
阿凯不才,音乐,1.7万
陈一淼Donkey,荒岛特训,1.7万
1sabella小橙子,颜值,1.7万
真丶林娇娇,综合手游,1.7万
吃饱了面面阿,绝地求生,1.6万
今晚打老虎gg,主机游戏,1.6万
Ruanmei万岁,DNF,1.6万
小雅er,颜值,1.6万
废柴姑娘lm,颜值,1.6万
主播20投,冒险岛2,1.6万
飞飞飞大飞,绝地求生,1.6万
你的菁菁酱呀丶,颜值,1.6万
你kui大大,颜值,1.6万
yuki伊伊,颜值,1.6万
心中的黄金,传奇,1.6万
妙音大大大大S,颜值,1.6万
西安小妞,颜值,1.6万
芒果Ace,反恐精英,1.6万
陈小杏,篮球游戏,1.6万
御今缘紫砂茶礼飞机哥,正能量,1.6万
playxwq,篮球游戏,1.6万
丶小八丶,热门网游,1.6万
可爱的六弟,梦幻西游手游,1.6万
东北大铞,绝地求生,1.6万
打金单职业,传奇,1.6万
小熊和你,英雄联盟,1.6万
小嘚瑟丶Baby,颜值,1.6万
奶瓶lxx,火影忍者,1.6万
安阳盈科,数码科技,1.6万
Abby大菲儿,颜值,1.6万
Lord丶是朕,DNF,1.6万
主播丶脱你,DNF,1.6万
万磁兔t,绝地求生,1.6万
电竞毒奶敏丶,英雄联盟,1.6万
小仙男追命,火影忍者,1.6万
Firm丶乐児,颜值,1.6万
无与伦比的菜刀,传奇,1.6万
wull木子姐姐,颜值,1.6万
激情女网友,颜值,1.6万
赢在湖北1号直播间,棋牌娱乐,1.6万
丑帅丑帅的子龙美人,王者荣耀,1.6万
我的乖宝宝水骨嫩,王者荣耀,1.6万
土豆女王驾到,英雄联盟,1.6万
小丫头丶乖乖,绝地求生,1.5万
认真的小橙子,二次元,1.5万
絕對一領域,怀旧游戏,1.5万
麻疯猪乳,怀旧游戏,1.5万
傲天皇妃sama,二次元,1.5万
南派倒斗丶悠悠,王者荣耀,1.5万
猪小耿,主机游戏,1.5万
教主英明神武,音乐,1.5万
一顾谚儿很倾城,颜值,1.5万
太子丹宝宝,传奇,1.5万
肖晨吖,穿越火线,1.5万
双鱼girl喵喵喵,颜值,1.5万
wenshen589,DOTA2,1.5万
Lisa怡一,颜值,1.5万
逍遥酱o,主机游戏,1.5万
记住我叫高小姐,颜值,1.5万
三十六贱笑,主机游戏,1.5万
丶守望雨季,守望先锋,1.5万
綰綰w,二次元,1.5万
控几技几李青喵,英雄联盟,1.5万
乔婉娩,二次元,1.5万
沈佳慧Z,颜值,1.5万
撸管巴菲特,梦幻西游手游,1.5万
Sai_C,视听点评,1.5万
沈佳慧Z,颜值,1.5万
主播余温,荒岛特训,1.5万
独白狠别致丶,QQ飞车,1.5万
神秘叔,绝地求生,1.5万
小雅er,颜值,1.5万
Nancy阿希,颜值,1.5万
士大夫119,传奇,1.5万
万磁兔t,绝地求生,1.5万
小宇宙bbo,颜值,1.5万
老猫upup,绝地求生,1.5万
老卢师,美食,1.5万
轲神丶三土,王者荣耀,1.5万
80飞扬合击传奇,传奇,1.5万
Abby大菲儿,颜值,1.5万
綰綰w,二次元,1.5万
猪小耿,主机游戏,1.5万
wuli小花花呀,颜值,1.4万
傲天皇妃sama,二次元,1.4万
一顾谚儿很倾城,颜值,1.4万
18岁那年的小姐姐,综合手游,1.4万
Rust叶灵,主机游戏,1.4万
激情女网友,颜值,1.4万
双鱼girl喵喵喵,颜值,1.4万
吊爆侠斗渔,梦幻西游手游,1.4万
解说DJ哥,穿越火线,1.4万
市长豆豆,狼人杀专区,1.4万
斗鱼汽车官方直播间,汽车,1.4万
花神教主AJ,颜值,1.4万
晓生解说,主机游戏,1.4万
左手有茧i,绝地求生,1.4万
撸管巴菲特,梦幻西游手游,1.4万
微笑露露,颜值,1.4万
浪灯丶,英雄联盟,1.4万
婠欣怡c,绝地求生,1.4万
阿昕Zz,颜值,1.4万
一只聪明的羊丶,颜值,1.4万
77琪琪酱,颜值,1.4万
丨盘丝洞丨,财经,1.4万
日月轮回888,棋牌娱乐,1.4万
